iter	Passed	Remaining
891	5709	691
892	5715	684
893	5721	678
894	5728	672
895	5734	665
896	5740	659
897	5747	652
898	5753	646
899	5760	640
900	5767	633
901	5773	627
902	5780	620
903	5787	614
904	5793	608
905	5799	601
906	5805	595
907	5812	588
908	5818	582
909	5824	576
910	5831	569
911	5837	563
912	5843	556
913	5849	550
914	5855	543
915	5862	537
916	5869	531
917	5875	524
918	5881	518
919	5887	511
920	5893	505
921	5899	499
922	5905	492
923	5911	486
924	5917	479
925	5923	473
926	5929	466
927	5935	460
928	5941	454
929	5947	447
930	5953	441
931	5958	434
932	5964	428
933	5970	421
934	5976	415
935	5983	409
936	5989	402
937	5996	396
938	6002	389
939	6010	383
940	6017	377
941	6023	370
942	6029	364
943	6035	358
944	6041	351
945	6047	345
946	6053	338
947	6058	332
948	6065	325
949	6072	319
950	6079	313
951	6085	306
952	6092	300
953	6098	294
954	6105	287
955	6112	281
956	6119	274
957	6125	268
958	6132	262
959	6138	255
960	6145	249
961	6151	242
962	6159	236
963	6166	230
964	6173	223
965	6179	217
966	6186	211
967	6193	204
968	6199	198
969	6207	191
970	6214	185
971	6221	179
972	6227	172
973	6234	166
974	6241	160
975	6247	153
976	6254	147
977	6260	140
978	6266	134
979	6272	128
980	6279	121
981	6285	115
982	6291	108
983	6296	102
984	6303	95
985	6310	89
986	6316	83
987	6322	76
988	6329	70
989	6335	63
990	6341	57
991	6347	51
992	6353	44
993	6358	38
994	6364	31
995	6370	25
996	6376	19
997	6382	12
998	6388	6
999	6393	0
